,facltNm,allar,insrncAt,trsagntNo,bizrno,facltDivNm,mangeDivNm,mgcDiv,manageSttus,hvofBgnde,hvofEnddle,featureNm,induty,lctCl,doNm,sigunguNm,zipcode,addr1,addr2,mapX,mapY,direction,tel,homepage,resveUrl,resveCl,manageNmpr,gnrlSiteCo,autoSiteCo,glampSiteCo,caravSiteCo,indvdlCaravSiteCo,sitedStnc,siteMg1Width,siteMg2Width,siteMg3Width,siteMg1Vrticl,siteMg2Vrticl,siteMg3Vrticl,siteMg1Co,siteMg2Co,siteMg3Co,siteBottomCl1,siteBottomCl2,siteBottomCl3,siteBottomCl4,siteBottomCl5,tooltip,glampInnerFclty,caravInnerFclty,prmisnDe,operPdCl,operDeCl,trlerAcmpnyAt,caravAcmpnyAt,toiletCo,swrmCo,wtrplCo,brazierCl,sbrsCl,sbrsEtc,posblFcltyCl,posblFcltyEtc,clturEventAt,clturEvent,exprnProgrmAt,exprnProgrm,extshrCo,frprvtWrppCo,frprvtSandCo,fireSensorCo,themaEnvrnCl,eqpmnLendCl,animalCmgCl,tourEraCl,firstImageUrl,createdtime,modifiedtime
0,(주)디노담양힐링파크 지점,2500,Y,2016-000004호,171-29-00619,민간,직영,,운영,,,물놀이시설 잘 갖추어짐 실내 놀이방 실내 독서방  카라반 2동 글램핑 시설이 좋은편,"일반야영장,카라반,글램핑",호수,전라남도,담양군,57371,전남 담양군 봉산면 탄금길 9-26,,126.9609528,35.2714369,,061-383-5155,https://healingpark.modoo.at/,https://healingpark.modoo.at/,전화,2,2,0,22,2,0,0,4,6,0,6,7,0,13,11,0,0,0,24,0,0,,"침대,에어컨,냉장고,유무선인터넷,난방기구,취사도구,내부화장실","침대,TV,에어컨,냉장고,유무선인터넷,난방기구,취사도구,내부화장실",2016-10-27,"봄,여름,가을,겨울",평일+주말,N,N,4,3,2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트.편의점",,"운동장,강/물놀이,농어촌체험시설",,N,,Y,금붕어잡기체험,20,2,1,24,"낚시,여름물놀이",,불가능,,https://gocamping.or.kr/upload/camp/4/thumb/thumb_720_4548WQ5JCsRSkbHrBAaZylrQ.jpg,2022-08-01 23:17,2022-08-01 23:17
1,(주)쉐르빌리안티티,0,Y,,,민간,직영,,운영,,,,글램핑,"산,강",강원도,홍천군,25100,강원 홍천군 서면 밤벌길19번길 111,,127.5960926,37.7015645,서울양양고속도로 설악IC에서 한서중학교 방면으로 30분,033-435-1199,http://chereville.co.kr/default/index.php,http://chereville.co.kr/default/reservation/01.php?top=5&sub=0,온라인실시간예약,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"인근 관광지로는 모곡밤벌유원지, 모곡레저타운, 홍천 무궁화마을이 있으며, 만남의 광장 닭갈비, 모곡참숯골 닭갈비 막국수 등의 음식점도 있다.","침대,TV,에어컨,냉장고,난방기구",,2016-09-13,"봄,여름,가을,겨울",평일+주말,N,N,4,2,2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","반려견 놀이터, 반려견 수영장, 탁구장, 족구장, 노래방",,,N,,N,,0,0,0,0,,,가능,,https://gocamping.or.kr/upload/camp/9/thumb/thumb_720_36369SPhIkIhwmImFUZ9E1pT.jpg,2022-08-01 23:17,2022-08-01 23:17
2,(주)아웃오브파크,0,Y,,,민간,직영,,운영,,,,카라반,"산,강",강원도,춘천시,24468,강원도 춘천시 남면 가옹개길 52-9,,127.5112565,37.7278127,울양양고속도로 강촌IC에서 엘리시안강촌 방면으로 30분가량 달리면 도착,1522-1861-,http://outofpark.com/main/,,온라인실시간예약,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"주변에는 쁘띠프랑스, 호명호수공원, 청평호반 등이 있어 연계 관광이 용이하다. 전통손두부닭갈비, 수림닭갈비 등 음식점도 많다.",,"침대,TV,에어컨,냉장고,난방기구,취사도구,내부화장실",2017-09-18,"봄,여름,가을,겨울",평일+주말,N,N,0,0,0,개별,운동시설,"수영장, 노래방, 찜질방, 카페, 중앙 무대, 분수",수영장,,N,,N,,0,0,0,0,,,불가능,"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/10/thumb/thumb_720_1869epdMHtUyrinZWKFHDWty.jpg,2022-08-01 23:17,2022-08-01 23:17
3,(주)양촌여울체험캠프,0,Y,,777-86-00555,지자체,직영,,운영,,,,"일반야영장,자동차야영장","산,숲",경상남도,창원시,51795,경상남도 창원시 마산합포구 진전면 의산삼일로 60,,128.3753007,35.1365006,,055-271-2012,http://www.yangchoncamp.co.kr/,http://www.yangchoncamp.co.kr/,전화,4,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,12,0,0,,,,2016-12-19,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,1,개별,"전기,온수,물놀이장,산책로,마트.편의점",,"산책로,농어촌체험시설",,N,,Y,"피자만들기, 소시지, 쿠키, 방향제, 양초만들기",0,0,0,0,,,가능(소형견),,https://gocamping.or.kr/upload/camp/11/thumb/thumb_720_4031mKP95kUbSSBNbq5bSC5o.jpg,2022-08-01 23:17,2022-08-01 23:17
4,(주)어반슬로우시티,0,Y,,,민간,직영,,운영,,,,"자동차야영장,글램핑",,강원도,춘천시,200921,강원도 춘천시 남면 가옹개길 108 ,,127.5116915,37.732632,,1899-9349-,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2015-08-04,"봄,여름,가을",평일+주말,N,N,0,0,0,개별,,,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/12/thumb/thumb_720_9644tjRknwgZZpQLpCUMVlno.jpg,2022-08-01 23:17,2022-08-01 23:17
5,이스케이프 지점 (휴토피아),0,Y,,,민간,직영,이정균,운영,,,"서울양양고속도로 남춘천IC에서 남춘천, 비발디파크 방면으로 10분",글램핑,"숲,강",강원도,홍천군,250856,강원도 홍천군 서면 어유포리 282-8,,127.6892996,37.6963001,,1599-7130-,http://www.huttopia.co.kr,http://www.huttopia.co.kr/reservations/,온라인예약대기,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"주변 관광지로는 팔봉산관광지, 반곡밤벌유원지가 있다. 인근 음식점은 홍천강에서 잡은 민물고기로 요리를 하는 강가촌식당이 있다.","침대,TV,에어컨,냉장고,난방기구,취사도구,내부화장실",,2016-04-29,"봄,여름,가을,겨울",평일+주말,N,N,0,0,1,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","단체 바비큐장, 계곡","산책로,어린이놀이시설",,N,,N,,0,0,0,0,가을단풍명소,,불가능,"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/16/thumb/thumb_720_7281ozQmm7ppv6bLdBn7I6Xv.jpg,2022-08-01 23:17,2022-08-01 23:17
6,드림랜드오토캠핑장,26446,Y,2010-000001,267-06-02321,민간,직영,,운영,,,"영천드림랜드는 하계 수영장과 동계 눈썰매장을 운영하고 있으며 봄,가을에는 레일썰매,뗏목체험등 다양한 이벤트 장을 운영하여 온가족이 즐길 수 있는 유닉크한 캠핑장입니다.","일반야영장,자동차야영장,글램핑","산,숲,강",경상북도,영천시,38904,경북 영천시 고경면 고도길 38,드림랜드오토캠핑장,129.0005945,35.9840344,대구-포항 국도 육군3사관학교 건너편 200m  대로변에 인접,010-4664-4887,http://www.xn--hy1ba52sf0cx8xekccunc8drwt.kr/,https://m.thankqcamping.com/resv/view.hbb?cseq=327,"전화,온라인예약대기,온라인실시간예약,현장",6,135,135,17,0,0,0,7,0,0,7,0,0,110,0,0,0,110,17,0,0,,,,2010-01-11,"봄,여름,가을,겨울",평일+주말,Y,N,3,1,3,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","찜질방, 불가마, 예식장, 식당","산책로,강/물놀이,청소년체험시설",,N,,Y,"뗏목타기,눈썰매장,수영장",15,0,0,10,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,릴선,화로대,난방기구,식기",가능,"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/17/thumb/thumb_720_9880pmgY469oYPT25mRb8Yy8.jpg,2022-08-01 23:17,2022-10-18 6:30
7,(주)자연인 ,0,Y,,742-85-00697,민간,직영,,운영,,,제주시와 한라산 사이에 위치한 글램핑장.  ,"일반야영장,글램핑",숲,제주도,제주시,63239,제주특별자치도 제주시 아란서길 110-0 ,,126.5399565,33.4687254,,064-723-7500,http://jejujayeonin.com/,https://booking.naver.com/booking/3/bizes/112746/search?area=plt,온라인실시간예약,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",,2016-08-26,"봄,여름,가을,겨울",평일+주말,N,N,1,1,1,,운동시설,,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/18/thumb/thumb_720_7293hyzfcpcJltW5Sqm7an16.jpg,2022-08-01 23:17,2022-08-01 23:17
8,(주)태평소금 천일염 힐링캠프,3000,N,26213-2016-01,371-87-00261,민간,직영,,운영,,,증도 슬로시티 내 위치  소금밭 체험장 옆  바로 옆에 태평염색식물원 위치,일반야영장,섬,전라남도,신안군,535821,전라남도 신안군 증도면 지도증도로 1053-11 ,,126.1776166,34.9968071,네비게이션 검색 : &quot;소금박물관&quot;으로 검색하면 좀 더 빠르게 도착할 수 있다.,061-275-1596,http://www.saltvillage.co.kr/main/index.asp,,,0,9,0,0,10,0,3,6,0,0,6,0,0,9,0,0,0,6,3,0,0,,,"침대,TV,에어컨,냉장고,난방기구,취사도구,내부화장실",2016-05-11,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,2,개별,"전기,장작판매,온수,물놀이장,놀이터,마트.편의점",,"산책로,낚시,해수욕,청소년체험시설",,Y,보물찾기,Y,소금밭 체험,20,0,0,10,"일출명소,일몰명소,낚시,걷기길",화로대,불가능,,https://gocamping.or.kr/upload/camp/21/thumb/thumb_720_0101P4RZ9jhvwMhT2ZVJUof8.jpg,2022-08-01 23:17,2022-08-01 23:17
9,505펜션&캠핑(오공오),18810,Y,,307-17-69776,민간,직영,이연묵,운영,,,워터파크가 부럽지 않은 물놀이 시설을 갖춘 캠핑장  ,일반야영장,숲,충청남도,공주시,32523,충남 공주시 사곡면 호계황골길 43,,127.02077,36.5017433,,010-7330-2505,,,온라인실시간예약,2,22,0,0,0,0,3,6,0,0,7,0,0,0,0,0,0,22,0,0,0,,,,2015-05-20,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,3,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,"계곡 물놀이,낚시",,N,,N,,40,0,0,0,"액티비티,여름물놀이","릴선,난방기구",불가능,,https://gocamping.or.kr/upload/camp/28/thumb/thumb_720_9612Elzm89JB6yhSrST7k95L.jpg,2022-08-01 23:17,2022-08-01 23:17
10,80 SS 오토캠핑장,9917,N,,846-51-00126,민간,직영,,운영,,,대형수영장,"일반야영장,자동차야영장,글램핑",숲,경상북도,군위군,39066,경북 군위군 부계면 남산리 1138-4번지,,128.6304762,36.0300417,,054-382-0007,http://80sscamping.com/,http://80sscamping.com/04_reservation/sub_02_1.php,온라인실시간예약,2,14,10,7,0,0,3,4,0,0,6,0,0,24,0,0,0,0,24,0,0,,"TV,에어컨,냉장고,유무선인터넷,난방기구",,2016-08-05,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,산책로,,N,,N,,40,0,0,7,여름물놀이,"릴선,화로대,난방기구,식기",불가능,,https://gocamping.or.kr/upload/camp/29/thumb/thumb_720_2945G8vcNTsfBNwFQxxMjZ3o.jpg,2022-08-01 23:17,2022-08-01 23:17
11,A&J오토캠핑장 ,0,Y,,,민간,직영,,운영,,,,자동차야영장,,강원도,원주시,220824,강원도 원주시 지정면 안창리 산 56-3,,127.8105836,37.3467235,,033-733-7770,http://ajcamping.gplusm.kr/m/,,전화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2015-05-18,,,N,N,0,0,0,,전기,,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/31/thumb/thumb_720_3895b82stUBCcHbwlmxvUEFi.jpg,2022-08-01 23:17,2022-10-15 6:30
12,Camp 1950 by 민들레울,11570,N,,349-13-00512,민간,직영,,운영,,,밀리터리,"일반야영장,글램핑",숲,경상북도,김천시,39698,김천시 대덕면 남김천대로 160,,127.9410435,35.8787838,,055-942-5006,,http://r6.camperstory.com/?2177,,2,9,0,11,0,0,3,3,0,0,6,0,0,9,0,0,0,0,9,0,0,,"침대,에어컨,냉장고,유무선인터넷,난방기구",,2017-04-27,"봄,여름,가을,겨울",평일+주말,N,N,3,3,1,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,"계곡 물놀이,산책로,어린이놀이시설",,N,,N,,22,1,1,18,여름물놀이,"텐트,릴선,화로대,난방기구,식기,침낭",불가능,,https://gocamping.or.kr/upload/camp/36/thumb/thumb_720_6584FNZQ0Vf9joqf5ZWYUCEw.jpg,2022-08-01 23:17,2022-08-01 23:17
13,CLUB 596,2644,Y,,112-07-50307,민간,직영,,운영,,,"넓은 잔디밭, 조금만 가면 해변","일반야영장,글램핑",해변,충청남도,태안군,32152,충남 태안군 남면 몽산리 596,,126.2683706,36.683579,,010-8885-8592,http://www.club596.kr/,http://www.club596.kr/page/sub6_online.html?menu=6&sub=2,온라인실시간예약,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",,2017-08-01,"봄,여름,가을",평일+주말,N,N,2,2,2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로",,"산책로,수상레저,낚시,해수욕",,N,,Y,갯벌,8,0,0,6,"일몰명소,여름물놀이,걷기길",,불가능,,https://gocamping.or.kr/upload/camp/37/thumb/thumb_720_3206fs4kLSfZ5ihg8zava0EV.jpg,2022-08-01 23:17,2022-08-01 23:17
14,DMZ 마루캠핑,1600,Y,,101-28-65523,민간,직영,,운영,,,"태풍전망대,임진강",자동차야영장,강,경기도,연천군,11004,경기도 연천군 중면 군중로 399,,127.019287,38.1349255,,010-7935-6355,http://cafe.naver.com/marucamping,,,1,30,0,0,0,0,0,9,0,0,9,0,0,30,0,0,0,20,0,0,0,,,,2017-09-28,"봄,여름,가을",평일+주말,Y,N,1,1,1,,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,"계곡 물놀이,낚시,청소년체험시설",,N,,N,,20,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/38/thumb/thumb_720_06384VJoUlnVqQKEYALQ6gk3.jpg,2022-08-01 23:17,2022-08-01 23:17
15,DMZ캠핑장 ,3000,N,,749-03-00483,민간,직영,,운영,,,,자동차야영장,"산,계곡",강원도,철원군,269820,강원도 철원군 철원읍 독서당길 225-134 ,,127.1806653,38.2201219,,010-4761-7283,,,,1,13,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,13,,,,2016-06-09,"봄,여름,가을",평일+주말,N,N,1,1,2,개별,"전기,무선인터넷,장작판매",,계곡 물놀이,,N,,N,,7,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/39/thumb/thumb_720_5536war4pQYi7qRqZbE4RfaZ.jpg,2022-08-01 23:17,2022-10-15 6:30
16,F1 오토캠핑장,0,N,,410-82-13348,지자체,직영,,운영,,,,일반야영장,해변,전라남도,영암군,526892,전라남도 영암군 삼호읍 삼포리 1894,,126.3935277,34.7367086,,070-4227-7788,https://www.koreacircuit.kr:442/web,https://www.koreacircuit.kr:442/web,,0,0,40,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2012-11-27,"봄,여름,가을",주말,Y,N,5,2,4,개별,"온수,운동장",,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/42/thumb/thumb_720_0540YfGU2yWwYfBTWih8DB6K.jpg,2022-08-01 23:17,2022-10-15 6:30
