카테고리,지역1,지역2,상호명,메뉴
맛녀석,경기,파주시,맷돌우리콩감자탕,콩비지 감자탕
맛녀석,인천,남동구,부암갈비,생돼지갈비
맛녀석,인천,중구,만다복,짜장면
맛녀석,서울,성동구,은성보쌈,보쌈김치
맛녀석,서울,송파구,탕,김치찌개
맛녀석,강원,속초시,동명항생선숯불구이,생선구이
맛녀석,서울,종로구,만정,소고기 구이
맛녀석,서울,서초구,오대산산채전문점,나물비빔밥
맛녀석,서울,강서구,방화동쭈꾸미마을,쭈꾸미
맛녀석,서울,송파구,가나안,떡볶이
맛녀석,경기,안양시,에버그린,돈까스
맛녀석,경기,화성시,신동태,알탕
맛녀석,서울,마포구,강수곱창,소곱창구이
맛녀석,서울,마포구,군자네,고등어김치찜
맛녀석,경기,고양시,싹쓰리 솥뚜껑김치삼겹살,삼겹살
맛녀석,서울,강서구,농실가찹쌀순대 ,갈비탕
맛녀석,경기,고양시,별미진미,게장
맛녀석,서울,도봉구,방학사거리짬뽕집,짬뽕
맛녀석,경기,고양시,뉴욕엔와이,스테이크
맛녀석,서울,강남구,대우부대찌개,부대찌개
맛녀석,경기,용인시,한참치 2호점,참치회
맛녀석,서울,강서구,광주똑순이아구찜,아구찜
맛녀석,경기,남양주시,더수제비 남양주본점,수제비
맛녀석,서울,서대문구,청송함흥냉면전문점 본관,냉면
맛녀석,전북,전주시,조점례남문피순대,피순대
맛녀석,전북,전주시,전주물갈비,물갈비
맛녀석,경기,안양시,삼촌식당,카레
맛녀석,서울,강남구,꽃새우영번지 역삼점,새우
맛녀석,서울,관악구,페리카나,치킨
맛녀석,서울,강북구,땡초닭발,닭발
맛녀석,서울,동대문구,광주식당,청국장
맛녀석,서울,서초구,대가향,탕수육
맛녀석,서울,강서구,유림,닭볶음탕
맛녀석,서울,강남구,돌곰네,문어
맛녀석,서울,종로구,광화문미진,메밀
맛녀석,서울,강남구,맛자랑,콩국수
맛녀석,서울,강동구,버섯잔치집,버섯전골
맛녀석,전남,광양시,청룡식당,재첩국
맛녀석,전남,광양시,금목서 광양불고기,광양불고기
맛녀석,서울,영등포구,전주전집 영등포점,전
맛녀석,서울,마포구,하노이안,쌀국수
맛녀석,경기,파주시,The담다(구 대흥식당),제육볶음
맛녀석,서울,중구,호남식당,갈치조림
맛녀석,경기,용인시,청솔유황오리진흙구이,오리진흙구이
맛녀석,서울,서초구,새마을식당 서초교대점,열탄불고기
맛녀석,인천,남동구,처가집추어탕 본점,추어탕
맛녀석,인천,중구,신포순대 본점,순대볶음
맛녀석,서울,마포구,성화라멘,라멘
맛녀석,서울,광진구,안동참찜닭,찜닭
맛녀석,서울,종로구,다락정,만두전골
맛녀석,경기,성남시,오불뚝 위례본점,오징어볶음
맛녀석,서울,서초구,우작설렁탕,설렁탕
맛녀석,서울,종로구,억조,복어
맛녀석,경기,남양주시,수인씨의마당,시래기
맛녀석,서울,종로구,혜화양육관,양꼬치
맛녀석,서울,서초구,백년옥 본관,순두부
맛녀석,서울,마포구,팔팔전복,전복
맛녀석,경기,고양시,소풍,보리굴비
맛녀석,서울,마포구,아소정,갈비찜
맛녀석,서울,용산구,오근내닭갈비,닭갈비
맛녀석,서울,은평구,목포세발낙지산낙지 본관,낙지
맛녀석,서울,성동구,목포산꽃게아구찜탕,꽃게백숙
맛녀석,서울,강서구,전주뜰콩나물국밥,콩나물국밥
맛녀석,경기,고양시,산촌 고양점,사찰음식
맛녀석,경기,안양시,옛집,쌈밥
맛녀석,경기,의왕시,전라도팥바지락칼국수,바지락 칼국수
맛녀석,경기,군포시,자성화맛집코다리네 별관,코다리조림
맛녀석,경기,파주시,초원오리농장,오리주물럭
맛녀석,경기,용인시,바위꽃,굴
맛녀석,서울,용산구,땅끝마을,매생이 국밥
맛녀석,경기,의왕시,콩지팥찌,팥죽
맛녀석,서울,영등포구,정솔닭한마리 영등포본점,닭한마리
맛녀석,서울,은평구,대관령황태마을 역촌점,황태
맛녀석,부산,부산진구,송정삼대국밥,돼지국밥
맛녀석,부산,동래구,동래할매파전,동래파전
맛녀석,경북,포항시,윤금자모리칼국수 본점,모리국수
맛녀석,경북,포항시,엘토르 원조구룡포과메기전문점,과메기
맛녀석,서울,강남구,한일관 압구정점,불고기
